Département - commune;Département;Population sans doubles comptes 1999;Département - commune;Département;Population sans doubles comptes 1999
80596;Neuvillette;179;;;
80597;Nibas;749;;;
80598;Nouvion;1 210;;;
80599;Noyelles-en-Chaussée;248;;;
80600;Noyelles-sur-Mer;742;;;
80601;Nurlu;378;;;
80602;Occoches;121;;;
80603;Ochancourt;235;;;
80604;Offignies;70;;;
80605;Offoy;224;;;
80606;Oisemont;1 244;;;
80607;Oissy;213;;;
80608;Omiécourt;223;;;
80609;Oneux;310;;;
80611;Oresmaux;759;;;
80613;Oust-Marest;704;;;
80614;Outrebois;253;;;
80615;Ovillers-la-Boisselle;371;;;
80616;Pargny;124;;;
80617;Parvillers-le-Quesnoy;221;;;
80618;Pendé;980;;;
80619;Pernois;645;;;
80620;Péronne;8 380;;;
80621;Pertain;318;;;
80622;Picquigny;1 386;;;
80623;Piennes-Onvillers;336;;;
80624;Pierregot;243;;;
80625;Pierrepont-sur-Avre;475;;;
80626;Pissy;298;;;
80627;Plachy-Buyon;929;;;
80628;Le Plessier-Rozainvillers;566;;;
80629;Poeuilly;105;;;
80630;Poix-de-Picardie;2 285;;;
80631;Ponches-Estruval;125;;;
80632;Pont-de-Metz;1 656;;;
80633;Ponthoile;547;;;
80634;Pont-Noyelles;789;;;
80635;Pont-Remy;1 400;;;
80637;Port-le-Grand;312;;;
80638;Potte;84;;;
80639;Poulainville;1 373;;;
80640;Pozières;244;;;
80642;Prouville;258;;;
80643;Prouzel;503;;;
80644;Proyart;522;;;
80645;Puchevillers;487;;;
80646;Punchy;65;;;
80647;Puzeaux;210;;;
80648;Pys;82;;;
80649;Quend;1 205;;;
80650;Querrieu;687;;;
80651;Le Quesne;300;;;
80652;Le Quesnel;540;;;
80654;Quesnoy-le-Montant;519;;;
80655;Quesnoy-sur-Airaines;444;;;
80656;Quevauvillers;1 054;;;
80657;Quiry-le-Sec;270;;;
80658;Quivières;178;;;
80659;Raincheval;244;;;
80661;Rainneville;761;;;
80662;Ramburelles;210;;;
80663;Rambures;365;;;
80664;Rancourt;144;;;
80665;Regnière-Écluse;122;;;
80666;Remaisnil;35;;;
80667;Remaugies;97;;;
80668;Remiencourt;170;;;
80669;Rethonvillers;300;;;
80670;Revelles;506;;;
80671;Ribeaucourt;185;;;
80672;Ribemont-sur-Ancre;616;;;
80673;Riencourt;196;;;
80674;Rivery;3 400;;;
80675;Rogy;94;;;
80676;Roiglise;162;;;
80677;Roisel;1 929;;;
80678;Rollot;631;;;
80679;Ronssoy;612;;;
80680;Rosières-en-Santerre;2 956;;;
80681;Rouvrel;238;;;
80682;Rouvroy-en-Santerre;218;;;
80683;Rouy-le-Grand;103;;;
80684;Rouy-le-Petit;125;;;
80685;Roye;6 529;;;
80686;Rubempré;675;;;
80687;Rubescourt;134;;;
80688;Rue;3 075;;;
80690;Rumigny;567;;;
80691;Saigneville;385;;;
80692;Sailly-Flibeaucourt;947;;;
80693;Sailly-Laurette;263;;;
80694;Sailly-le-Sec;266;;;
80695;Sailly-Saillisel;410;;;
80696;Sains-en-Amiénois;1 075;;;
80697;Saint-Acheul;22;;;
80698;Saint-Aubin-Montenoy;209;;;
80699;Saint-Aubin-Rivière;113;;;
80700;Saint-Blimont;948;;;
80701;Saint-Christ-Briost;408;;;
80702;Saint-Fuscien;966;;;
80703;Saint-Germain-sur-Bresle;185;;;
80704;Saint-Gratien;371;;;
80705;Saint-Léger-lès-Authie;98;;;
80706;Saint-Léger-lès-Domart;1 758;;;
80707;Saint-Léger-sur-Bresle;57;;;
80708;Saint-Mard;193;;;
80709;Saint-Maulvis;226;;;
80710;Saint-Maxent;369;;;
80711;Saint-Ouen;2 196;;;
80713;Saint-Quentin-en-Tourmont;334;;;
80714;Saint-Quentin-la-Motte-Croix-au-Bailly;1 310;;;
80716;Saint-Riquier;1 186;;;
80717;Saint-Sauflieu;901;;;
80718;Saint-Sauveur;1 526;;;
80719;Sainte-Segrée;56;;;
80721;Saint-Valery-sur-Somme;2 686;;;
80722;Saint-Vaast-en-Chaussée;563;;;
80723;Saisseval;230;;;
80724;Saleux;2 493;;;
80725;Salouël;4 162;;;
80726;Sancourt;279;;;
80728;Saulchoy-sous-Poix;35;;;
80729;Sauvillers-Mongival;179;;;
80730;Saveuse;776;;;
80732;Senarpont;770;;;
